Points with non-zero HEIDI values:
Point 122 -> Point 103, HEIDI Value: 3.0000
Point 122 -> Point 122, HEIDI Value: 3.0000
Point 123 -> Point 123, HEIDI Value: 3.0000
Point 123 -> Point 132, HEIDI Value: 3.0000
Point 123 -> Point 265, HEIDI Value: 3.0000
Point 124 -> Point 124, HEIDI Value: 3.0000
Point 125 -> Point 125, HEIDI Value: 3.0000
Point 125 -> Point 167, HEIDI Value: 3.0000
Point 125 -> Point 280, HEIDI Value: 3.0000
Point 126 -> Point 126, HEIDI Value: 3.0000
Point 127 -> Point 127, HEIDI Value: 3.0000
Point 128 -> Point 6, HEIDI Value: 3.0000
Point 128 -> Point 90, HEIDI Value: 3.0000
Point 128 -> Point 128, HEIDI Value: 3.0000
Point 129 -> Point 75, HEIDI Value: 3.0000
Point 129 -> Point 129, HEIDI Value: 3.0000
Point 129 -> Point 166, HEIDI Value: 3.0000
Point 130 -> Point 130, HEIDI Value: 3.0000
Point 131 -> Point 131, HEIDI Value: 3.0000
Point 132 -> Point 123, HEIDI Value: 3.0000
Point 132 -> Point 132, HEIDI Value: 3.0000
Point 132 -> Point 276, HEIDI Value: 3.0000
Point 133 -> Point 133, HEIDI Value: 3.0000
Point 134 -> Point 55, HEIDI Value: 3.0000
Point 134 -> Point 134, HEIDI Value: 3.0000
Point 134 -> Point 283, HEIDI Value: 3.0000
Point 135 -> Point 135, HEIDI Value: 3.0000
Point 135 -> Point 183, HEIDI Value: 3.0000
Point 135 -> Point 298, HEIDI Value: 3.0000
Point 136 -> Point 81, HEIDI Value: 3.0000
Point 136 -> Point 136, HEIDI Value: 3.0000
Point 136 -> Point 218, HEIDI Value: 3.0000
Point 137 -> Point 9, HEIDI Value: 3.0000
Point 137 -> Point 137, HEIDI Value: 3.0000
Point 137 -> Point 142, HEIDI Value: 3.0000
Point 138 -> Point 96, HEIDI Value: 3.0000
Point 138 -> Point 138, HEIDI Value: 3.0000
Point 138 -> Point 142, HEIDI Value: 3.0000
Point 139 -> Point 139, HEIDI Value: 3.0000
Point 140 -> Point 140, HEIDI Value: 3.0000
Point 141 -> Point 141, HEIDI Value: 3.0000
Point 142 -> Point 137, HEIDI Value: 3.0000
Point 142 -> Point 138, HEIDI Value: 3.0000
Point 142 -> Point 142, HEIDI Value: 3.0000
Point 143 -> Point 143, HEIDI Value: 3.0000
Point 144 -> Point 17, HEIDI Value: 3.0000
Point 144 -> Point 144, HEIDI Value: 3.0000
Point 144 -> Point 205, HEIDI Value: 3.0000
Point 145 -> Point 145, HEIDI Value: 3.0000
Point 145 -> Point 185, HEIDI Value: 3.0000
Point 145 -> Point 225, HEIDI Value: 3.0000
Point 146 -> Point 71, HEIDI Value: 3.0000
Point 146 -> Point 74, HEIDI Value: 3.0000
Point 146 -> Point 146, HEIDI Value: 3.0000
Point 146 -> Point 210, HEIDI Value: 3.0000
Point 147 -> Point 147, HEIDI Value: 3.0000
Point 148 -> Point 148, HEIDI Value: 3.0000
Point 149 -> Point 149, HEIDI Value: 3.0000
Point 150 -> Point 150, HEIDI Value: 3.0000
Point 150 -> Point 182, HEIDI Value: 3.0000
Point 150 -> Point 298, HEIDI Value: 3.0000
