Points with non-zero HEIDI values:
Point 4 -> Point 113, HEIDI Value: 2.0000
Point 4 -> Point 158, HEIDI Value: 2.0000
Point 4 -> Point 244, HEIDI Value: 2.0000
Point 5 -> Point 46, HEIDI Value: 2.0000
Point 5 -> Point 76, HEIDI Value: 2.0000
Point 5 -> Point 175, HEIDI Value: 2.0000
Point 5 -> Point 296, HEIDI Value: 2.0000
Point 6 -> Point 137, HEIDI Value: 2.0000
Point 6 -> Point 182, HEIDI Value: 2.0000
Point 6 -> Point 229, HEIDI Value: 2.0000
Point 7 -> Point 103, HEIDI Value: 2.0000
Point 7 -> Point 185, HEIDI Value: 2.0000
Point 7 -> Point 235, HEIDI Value: 2.0000
Point 8 -> Point 54, HEIDI Value: 2.0000
Point 8 -> Point 270, HEIDI Value: 2.0000
Point 8 -> Point 290, HEIDI Value: 2.0000
Point 9 -> Point 45, HEIDI Value: 2.0000
Point 9 -> Point 47, HEIDI Value: 2.0000
Point 9 -> Point 71, HEIDI Value: 2.0000
Point 10 -> Point 19, HEIDI Value: 2.0000
Point 10 -> Point 84, HEIDI Value: 2.0000
Point 10 -> Point 166, HEIDI Value: 2.0000
Point 11 -> Point 270, HEIDI Value: 2.0000
Point 11 -> Point 290, HEIDI Value: 2.0000
Point 12 -> Point 141, HEIDI Value: 2.0000
Point 12 -> Point 203, HEIDI Value: 2.0000
Point 13 -> Point 248, HEIDI Value: 2.0000
Point 13 -> Point 251, HEIDI Value: 2.0000
Point 14 -> Point 37, HEIDI Value: 2.0000
Point 14 -> Point 234, HEIDI Value: 2.0000
Point 15 -> Point 92, HEIDI Value: 2.0000
Point 15 -> Point 137, HEIDI Value: 2.0000
Point 15 -> Point 193, HEIDI Value: 2.0000
Point 15 -> Point 245, HEIDI Value: 2.0000
Point 16 -> Point 140, HEIDI Value: 2.0000
Point 16 -> Point 161, HEIDI Value: 2.0000
Point 16 -> Point 192, HEIDI Value: 2.0000
Point 16 -> Point 201, HEIDI Value: 2.0000
Point 16 -> Point 282, HEIDI Value: 2.0000
Point 17 -> Point 49, HEIDI Value: 2.0000
Point 17 -> Point 83, HEIDI Value: 2.0000
Point 17 -> Point 128, HEIDI Value: 2.0000
Point 17 -> Point 139, HEIDI Value: 2.0000
Point 17 -> Point 176, HEIDI Value: 2.0000
Point 19 -> Point 10, HEIDI Value: 2.0000
Point 19 -> Point 80, HEIDI Value: 2.0000
Point 19 -> Point 114, HEIDI Value: 2.0000
Point 19 -> Point 166, HEIDI Value: 2.0000
Point 20 -> Point 2, HEIDI Value: 2.0000
Point 20 -> Point 95, HEIDI Value: 2.0000
Point 20 -> Point 133, HEIDI Value: 2.0000
Point 20 -> Point 231, HEIDI Value: 2.0000
Point 21 -> Point 152, HEIDI Value: 2.0000
Point 21 -> Point 178, HEIDI Value: 2.0000
Point 21 -> Point 271, HEIDI Value: 2.0000
Point 21 -> Point 283, HEIDI Value: 2.0000
Point 22 -> Point 39, HEIDI Value: 2.0000
Point 22 -> Point 79, HEIDI Value: 2.0000
Point 23 -> Point 117, HEIDI Value: 2.0000
Point 23 -> Point 188, HEIDI Value: 2.0000
Point 24 -> Point 26, HEIDI Value: 2.0000
Point 24 -> Point 112, HEIDI Value: 2.0000
Point 24 -> Point 215, HEIDI Value: 2.0000
Point 24 -> Point 217, HEIDI Value: 2.0000
Point 24 -> Point 247, HEIDI Value: 2.0000
Point 25 -> Point 54, HEIDI Value: 2.0000
Point 25 -> Point 138, HEIDI Value: 2.0000
Point 25 -> Point 270, HEIDI Value: 2.0000
Point 25 -> Point 290, HEIDI Value: 2.0000
Point 26 -> Point 192, HEIDI Value: 2.0000
Point 26 -> Point 215, HEIDI Value: 2.0000
Point 26 -> Point 282, HEIDI Value: 2.0000
Point 27 -> Point 81, HEIDI Value: 2.0000
Point 27 -> Point 154, HEIDI Value: 2.0000
Point 28 -> Point 0, HEIDI Value: 2.0000
Point 28 -> Point 3, HEIDI Value: 2.0000
Point 28 -> Point 64, HEIDI Value: 2.0000
Point 28 -> Point 107, HEIDI Value: 2.0000
Point 28 -> Point 163, HEIDI Value: 2.0000
Point 28 -> Point 208, HEIDI Value: 2.0000
Point 28 -> Point 272, HEIDI Value: 2.0000
Point 29 -> Point 167, HEIDI Value: 2.0000
Point 30 -> Point 38, HEIDI Value: 2.0000
Point 30 -> Point 142, HEIDI Value: 2.0000
Point 31 -> Point 33, HEIDI Value: 2.0000
Point 31 -> Point 56, HEIDI Value: 2.0000
Point 31 -> Point 73, HEIDI Value: 2.0000
Point 31 -> Point 219, HEIDI Value: 2.0000
Point 31 -> Point 223, HEIDI Value: 2.0000
Point 31 -> Point 256, HEIDI Value: 2.0000
Point 32 -> Point 53, HEIDI Value: 2.0000
Point 32 -> Point 117, HEIDI Value: 2.0000
Point 32 -> Point 188, HEIDI Value: 2.0000
Point 32 -> Point 269, HEIDI Value: 2.0000
Point 33 -> Point 31, HEIDI Value: 2.0000
Point 33 -> Point 56, HEIDI Value: 2.0000
Point 33 -> Point 73, HEIDI Value: 2.0000
Point 33 -> Point 219, HEIDI Value: 2.0000
Point 34 -> Point 276, HEIDI Value: 2.0000
Point 34 -> Point 298, HEIDI Value: 2.0000
Point 35 -> Point 80, HEIDI Value: 2.0000
Point 36 -> Point 62, HEIDI Value: 2.0000
Point 36 -> Point 84, HEIDI Value: 2.0000
Point 36 -> Point 116, HEIDI Value: 2.0000
Point 36 -> Point 227, HEIDI Value: 2.0000
Point 37 -> Point 14, HEIDI Value: 2.0000
Point 37 -> Point 156, HEIDI Value: 2.0000
Point 37 -> Point 173, HEIDI Value: 2.0000
Point 38 -> Point 142, HEIDI Value: 2.0000
Point 39 -> Point 22, HEIDI Value: 2.0000
Point 39 -> Point 68, HEIDI Value: 2.0000
Point 39 -> Point 169, HEIDI Value: 2.0000
Point 39 -> Point 170, HEIDI Value: 2.0000
Point 40 -> Point 288, HEIDI Value: 2.0000
Point 40 -> Point 292, HEIDI Value: 2.0000
Point 41 -> Point 186, HEIDI Value: 2.0000
Point 41 -> Point 213, HEIDI Value: 2.0000
Point 42 -> Point 192, HEIDI Value: 2.0000
Point 42 -> Point 215, HEIDI Value: 2.0000
Point 42 -> Point 241, HEIDI Value: 2.0000
Point 42 -> Point 282, HEIDI Value: 2.0000
Point 43 -> Point 49, HEIDI Value: 2.0000
Point 43 -> Point 114, HEIDI Value: 2.0000
Point 43 -> Point 133, HEIDI Value: 2.0000
Point 44 -> Point 63, HEIDI Value: 2.0000
Point 45 -> Point 1, HEIDI Value: 2.0000
Point 45 -> Point 9, HEIDI Value: 2.0000
Point 45 -> Point 47, HEIDI Value: 2.0000
Point 45 -> Point 71, HEIDI Value: 2.0000
